Grupos,Valores de Cinza
Controle1,169.80
Controle1,171.92
Controle1,175.68
Controle1,178.99
Controle1,178.05
Controle1,175.85
Controle1,172.26
Controle1,171.01
Controle1,173.62
Controle1,175.39
Controle1,177.64
Controle1,178.11
Controle1,172.68
Controle1,167.72
Controle1,168.11
Controle1,169.85
Controle1,173.59
Controle1,175.61
Controle1,175.62
Controle1,173.71
Controle1,169.80
Controle1,170.65
Controle1,173.02
Controle1,176.09
Controle1,177.17
Controle1,175.48
Controle1,171.42
Controle1,169.51
Controle1,169.54
Controle1,171.50
Controle1,174.13
Controle1,176.32
Controle1,176.13
Controle1,175.80
Controle1,172.25
Controle1,170.66
Controle1,170.77
Controle1,173.68
Controle1,174.47
Controle1,175.99
Controle1,173.13
Controle1,169.12
Controle1,169.08
Controle1,172.52
Controle1,174.97
Controle1,175.26
Controle1,172.60
Controle1,171.98
Controle1,171.98
Controle1,171.93
Controle1,173.86
Controle1,176.34
Controle1,175.02
Controle1,173.83
Controle1,170.15
Controle1,168.79
Controle1,169.62
Controle1,172.58
Controle1,174.07
Controle1,176.00
Controle1,172.80
Controle1,170.25
Controle1,170.13
Controle1,172.97
Controle1,175.39
Controle1,175.79
Controle1,173.18
Controle1,172.58
Controle1,171.32
Controle1,170.08
Controle1,172.71
Controle1,175.18
Controle1,176.50
Controle1,175.98
Controle1,172.11
Controle1,170.59
Controle1,170.16
Controle1,172.25
Controle1,174.80
Controle1,176.59
Controle1,175.16
Controle1,172.78
Controle1,168.49
Controle1,167.49
Controle1,169.62
Controle1,173.43
Controle1,173.98
Controle1,173.90
Controle1,172.99
Controle1,170.76
Controle1,171.75
Controle1,174.84
Controle1,176.67
Controle1,175.13
Controle1,171.82
Controle1,171.41
Controle1,170.81
Controle1,170.13
Controle1,171.07
Controle1,174.72
Controle1,175.24
Controle1,174.65
Controle1,171.22
Controle1,170.52
Controle1,171.53
Controle1,172.67
Controle1,174.35
Controle1,177.37
Controle1,174.67
Controle1,172.27
Controle1,170.84
Controle1,170.18
Controle1,170.79
Controle1,173.36
Controle1,173.76
Controle1,174.22
Controle1,172.72
Controle1,172.15
Controle1,172.87
Controle1,174.13
Controle1,173.80
Controle1,173.03
Controle1,170.49
Controle1,171.83
Controle1,172.35
Controle1,173.38
Controle1,174.98
Controle1,175.71
Controle1,175.38
Controle1,175.40
Controle1,174.01
Controle1,174.38
Controle1,173.41
Controle1,173.88
Controle1,174.60
Controle1,174.52
Controle1,173.78
Controle1,173.21
Controle1,172.42
Controle1,172.41
Controle1,172.73
Controle1,173.91
Controle1,173.52
Controle1,173.47
Controle1,173.08
Controle1,172.59
Controle1,170.78
Controle1,172.81
Controle1,172.56
Controle1,173.28
Controle1,172.82
Controle1,172.88
Controle1,171.82
Controle1,169.93
Controle1,170.85
Controle1,173.97
Controle1,173.54
Controle1,172.15
Controle1,171.33
Controle1,170.97
Controle1,172.63
Controle1,174.74
Controle1,173.79
Controle1,173.33
Controle1,170.91
Controle1,170.55
Controle1,171.02
Controle1,172.05
Controle1,173.87
Controle1,173.62
Controle1,173.12
Controle1,173.96
Controle1,172.99
Controle1,173.18
Controle1,172.20
Controle1,173.76
Controle1,174.12
Controle1,174.52
Controle1,173.46
Controle1,173.29
Controle1,171.62
Controle1,169.89
Controle1,171.16
Controle1,173.29
Controle1,174.80
Controle1,174.51
Controle1,172.14
Controle1,171.39
Controle1,170.06
Controle1,170.93
Controle1,172.67
Controle1,175.03
Controle1,176.18
Controle1,175.54
Controle1,171.70
Controle1,169.79
Controle1,169.26
Controle1,171.34
Controle1,174.71
Controle1,177.76
Controle1,176.74
Controle1,173.07
Controle1,170.24
Controle1,171.77
Controle1,174.07
Controle1,177.07
Controle1,177.80
Controle1,175.49
Controle1,170.50
Controle1,168.56
Controle1,169.39
Controle1,173.17
Controle1,175.90
Controle1,177.03
Controle1,174.68
Controle1,171.64
Controle1,169.78
Controle1,170.47
Controle1,172.95
Controle1,177.80
Controle1,177.17
Controle1,174.41
Controle1,168.71
Controle1,166.55
Controle1,168.40
Controle1,170.99
Controle1,174.70
Controle1,178.93
Controle1,177.53
Controle1,174.28
Controle1,168.64
Controle1,167.52
Controle1,170.29
Controle1,174.03
Controle1,176.30
Controle1,177.44
Controle1,173.91
Controle1,168.45
Controle1,165.95
Controle1,167.52
Controle1,172.03
Controle1,176.12
Controle1,176.33
Controle1,175.07
Controle1,170.05
Controle1,168.86
Controle1,170.55
Controle1,173.78
Controle1,177.59
Controle1,177.15
Controle1,172.13
Controle1,168.95
Controle1,168.41
Controle1,171.43
Controle1,174.77
Controle1,176.43
Controle1,172.39
Controle1,167.68
Controle1,168.29
Controle1,172.03
Controle1,176.53
Controle1,179.07
Controle1,175.45
Controle1,170.23
Controle1,166.53
Controle1,164.78
Controle1,167.43
Controle1,174.52
Controle1,176.89
Controle1,177.06
Controle1,172.31
Controle1,168.08
Controle1,169.06
Controle1,172.73
Controle1,177.13
Controle1,180.62
Controle1,175.51
Controle1,170.53
Controle1,166.80
Controle1,167.24
Controle1,172.35
Controle1,176.52
Controle1,178.85
Controle1,178.53
Controle1,172.09
Controle1,166.97
Controle1,167.16
Controle1,171.56
Controle1,178.29
Controle1,180.05
Controle1,174.33
Controle1,169.37
Controle1,166.02
Controle1,166.63
Controle1,172.69
Controle1,179.05
Controle1,181.46
Controle1,178.97
Controle1,172.10
Controle1,167.95
Controle1,167.82
Controle1,172.85
Controle1,179.30
Controle1,183.01
Controle1,179.11
Controle1,170.52
Controle1,165.09
Controle1,165.40
Controle1,170.46
Controle1,177.11
Controle1,181.14
Controle1,178.72
Controle1,170.93
Controle1,165.79
Controle1,166.68
Controle1,172.35
Controle1,178.73
Controle1,182.15
Controle1,178.14
Controle1,171.51
Controle1,166.48
Controle1,165.74
Controle1,170.03
Controle1,177.59
Controle1,181.23
Controle1,180.05
Controle1,172.37
Controle1,167.25
Controle1,167.99
Controle1,171.26
Controle1,177.31
Controle1,183.23
Controle1,180.34
Controle1,174.99
Controle1,166.89
Controle1,163.64
Controle1,167.43
Controle1,174.06
Controle1,180.48
Controle1,183.84
Controle1,177.78
Controle1,168.51
Controle1,163.86
Controle1,165.92
Controle1,174.08
Controle1,180.38
Controle1,180.89
Controle1,178.38
Controle1,171.36
Controle1,166.19
Controle1,165.77
Controle1,170.29
Controle1,176.91
Controle1,181.18
Controle1,179.50
Controle1,176.07
Controle1,170.51
Controle1,167.36
Controle1,170.12
Controle1,175.36
Controle1,179.42
Controle1,179.11
Controle1,172.24
Controle1,166.94
Controle1,166.56
Controle1,169.74
Controle1,174.95
Controle1,179.20
Controle1,177.90
Controle1,172.40
Controle1,167.38
Controle1,168.23
Controle1,173.27
Controle1,179.99
Controle1,180.67
Controle1,175.64
Controle1,167.15
Controle1,163.19
Controle1,166.05
Controle1,172.45
Controle1,179.84
Controle1,182.35
Controle1,176.66
Controle1,169.49
Controle1,166.81
Controle1,168.36
Controle1,175.09
Controle1,182.23
Controle1,181.83
Controle1,176.58
Controle1,166.62
Controle1,162.64
Controle1,167.15
Controle1,173.56
Controle1,179.93
Controle1,181.49
Controle1,174.80
Controle1,168.29
Controle1,167.23
Controle1,170.68
Controle1,176.28
Controle1,182.45
Controle1,181.25
Controle1,178.08
Controle1,169.51
Controle1,162.66
Controle1,164.45
Controle1,171.99
Controle1,179.32
Controle1,181.96
Controle1,175.02
Controle1,167.75
Controle1,165.31
Controle1,169.21
Controle1,176.08
Controle1,181.71
Controle1,180.12
Controle1,173.80
Controle1,166.33
Controle1,165.16
Controle1,167.37
Controle1,172.95
Controle1,178.50
Controle1,180.99
Controle1,174.61
Controle1,167.92
Controle1,166.44
Controle1,170.38
Controle1,175.42
Controle1,179.86
Controle1,178.83
Controle1,173.17
Controle1,166.71
Controle1,164.49
Controle1,169.21
Controle1,176.27
Controle1,179.40
Controle1,178.78
Controle1,174.17
Controle1,169.30
Controle1,169.68
Controle1,171.34
Controle1,174.16
Controle1,177.88
Controle1,175.25
Controle1,169.49
Controle1,166.07
Controle1,167.56
Controle1,172.75
Controle1,178.17
Controle1,178.37
Omo1,171.68
Omo1,168.10
Omo1,167.69
Omo1,169.20
Omo1,171.70
Omo1,170.66
Omo1,169.20
Omo1,166.71
Omo1,167.23
Omo1,171.42
Omo1,174.74
Omo1,173.65
Omo1,170.23
Omo1,167.61
Omo1,168.59
Omo1,170.51
Omo1,172.73
Omo1,172.07
Omo1,169.87
Omo1,168.78
Omo1,168.82
Omo1,169.90
Omo1,172.69
Omo1,171.93
Omo1,169.40
Omo1,166.91
Omo1,167.76
Omo1,170.26
Omo1,170.13
Omo1,169.41
Omo1,169.05
Omo1,168.68
Omo1,170.08
Omo1,170.49
Omo1,169.87
Omo1,169.66
Omo1,168.71
Omo1,168.03
Omo1,170.44
Omo1,170.67
Omo1,169.62
Omo1,167.74
Omo1,166.77
Omo1,167.76
Omo1,169.32
Omo1,169.39
Omo1,169.09
Omo1,167.96
Omo1,169.05
Omo1,171.18
Omo1,171.40
Omo1,169.94
Omo1,168.79
Omo1,167.28
Omo1,169.43
Omo1,171.22
Omo1,171.99
Omo1,170.69
Omo1,169.43
Omo1,168.16
Omo1,168.07
Omo1,167.43
Omo1,169.78
Omo1,169.99
Omo1,169.05
Omo1,168.48
Omo1,170.33
Omo1,170.74
Omo1,168.50
Omo1,167.91
Omo1,169.02
Omo1,169.61
Omo1,170.69
Omo1,170.30
Omo1,168.98
Omo1,168.18
Omo1,168.84
Omo1,169.60
Omo1,169.62
Omo1,167.14
Omo1,166.64
Omo1,166.58
Omo1,167.43
Omo1,168.05
Omo1,167.90
Omo1,168.90
Omo1,170.50
Omo1,169.00
Omo1,167.74
Omo1,167.21
Omo1,168.77
Omo1,169.80
Omo1,170.80
Omo1,168.30
Omo1,167.19
Omo1,166.47
Omo1,168.43
Omo1,169.11
Omo1,169.87
Omo1,169.70
Omo1,167.72
Omo1,166.75
Omo1,167.75
Omo1,169.49
Omo1,171.63
Omo1,168.93
Omo1,167.44
Omo1,165.56
Omo1,166.97
Omo1,168.41
Omo1,169.63
Omo1,168.33
Omo1,168.01
Omo1,167.11
Omo1,169.21
Omo1,169.83
Omo1,168.17
Omo1,166.04
Omo1,168.53
Omo1,170.92
Omo1,172.01
Omo1,169.10
Omo1,167.58
Omo1,167.09
Omo1,168.72
Omo1,170.57
Omo1,170.46
Omo1,168.45
Omo1,169.74
Omo1,170.70
Omo1,171.94
Omo1,171.86
Omo1,171.58
Omo1,169.35
Omo1,169.81
Omo1,169.36
Omo1,169.16
Omo1,168.23
Omo1,168.48
Omo1,169.34
Omo1,168.39
Omo1,168.00
Omo1,168.59
Omo1,169.64
Omo1,170.26
Omo1,168.68
Omo1,168.10
Omo1,169.29
Omo1,169.31
Omo1,168.69
Omo1,168.64
Omo1,166.81
Omo1,167.96
Omo1,168.17
Omo1,169.33
Omo1,168.54
Omo1,167.55
Omo1,167.72
Omo1,168.54
Omo1,167.16
Omo1,168.06
Omo1,169.54
Omo1,170.13
Omo1,170.95
Omo1,170.42
Omo1,168.55
Omo1,169.89
Omo1,170.96
Omo1,170.15
Omo1,168.18
Omo1,168.73
Omo1,169.44
Omo1,169.91
Omo1,169.71
Omo1,169.78
Omo1,169.10
Omo1,170.90
Omo1,171.11
Omo1,169.67
Omo1,168.78
Omo1,168.52
Omo1,168.67
Omo1,171.66
Omo1,171.26
Omo1,170.37
Omo1,167.71
Omo1,166.74
Omo1,168.22
Omo1,170.78
Omo1,170.05
Omo1,168.89
Omo1,165.63
Omo1,165.49
Omo1,167.05
Omo1,169.01
Omo1,170.07
Omo1,170.22
Omo1,168.60
Omo1,168.94
Omo1,167.43
Omo1,168.55
Omo1,168.44
Omo1,168.01
Omo1,168.46
Omo1,169.60
Omo1,170.73
Omo1,168.68
Omo1,165.81
Omo1,167.58
Omo1,169.54
Omo1,169.64
Omo1,169.42
Omo1,168.97
Omo1,167.85
Omo1,169.59
Omo1,171.16
Omo1,170.65
Omo1,167.99
Omo1,168.05
Omo1,168.69
Omo1,169.61
Omo1,170.08
Omo1,170.52
Omo1,167.73
Omo1,167.88
Omo1,170.15
Omo1,172.12
Omo1,171.22
Omo1,168.41
Omo1,166.43
Omo1,168.68
Omo1,172.26
Omo1,172.92
Omo1,169.68
Omo1,166.86
Omo1,167.14
Omo1,168.92
Omo1,170.22
Omo1,169.79
Omo1,167.88
Omo1,167.95
Omo1,168.31
Omo1,169.45
Omo1,170.31
Omo1,169.09
Omo1,166.35
Omo1,167.65
Omo1,169.54
Omo1,171.39
Omo1,170.72
Omo1,169.22
Omo1,167.34
Omo1,168.56
Omo1,170.53
Omo1,172.65
Omo1,170.95
Omo1,169.36
Omo1,167.05
Omo1,167.22
Omo1,170.93
Omo1,172.89
Omo1,171.14
Omo1,168.78
Omo1,164.72
Omo1,166.62
Omo1,169.34
Omo1,170.37
Omo1,169.75
Omo1,168.41
Omo1,166.94
Omo1,168.28
Omo1,168.12
Omo1,168.01
Omo1,166.59
Omo1,167.05
Omo1,168.91
Omo1,170.69
Omo1,169.09
Omo1,166.85
Omo1,165.72
Omo1,167.36
Omo1,169.48
Omo1,170.93
Omo1,169.77
Omo1,167.59
Omo1,166.44
Omo1,167.03
Omo1,167.77
Omo1,169.69
Omo1,168.71
Omo1,167.44
Omo1,168.01
Omo1,169.22
Omo1,169.50
Omo1,171.06
Omo1,169.56
Omo1,169.15
Omo1,168.55
Omo1,168.16
Omo1,166.94
Omo1,166.52
Omo1,167.55
Omo1,170.56
Omo1,171.17
Omo1,170.39
Omo1,167.25
Omo1,165.77
Omo1,165.56
Omo1,168.52
Omo1,169.75
Omo1,169.70
Omo1,166.59
Omo1,167.49
Omo1,168.91
Omo1,169.37
Omo1,168.02
Omo1,167.44
Omo1,167.29
Omo1,167.55
Omo1,167.20
Omo1,168.33
Omo1,167.66
Omo1,166.37
Omo1,166.43
Omo1,168.68
Omo1,170.60
Omo1,169.75
Omo1,167.76
Omo1,168.00
Omo1,168.54
Omo1,168.81
Omo1,169.21
Omo1,170.00
Omo1,168.86
Omo1,168.46
Omo1,167.42
Omo1,168.06
Omo1,168.12
Omo1,169.86
Omo1,169.64
Omo1,168.21
Omo1,167.11
Omo1,168.80
Omo1,168.86
Omo1,168.21
Omo1,167.77
Omo1,170.11
Omo1,170.04
Omo1,167.76
Omo1,166.97
Omo1,169.18
Omo1,169.18
Omo1,170.59
Omo1,171.37
Omo1,170.90
Omo1,168.02
Omo1,166.23
Omo1,168.68
Omo1,171.14
Omo1,169.49
Omo1,168.18
Omo1,167.55
Omo1,169.20
Omo1,171.05
Omo1,172.14
Omo1,171.11
Omo1,169.62
Omo1,167.24
Omo1,168.92
Omo1,169.36
Omo1,168.94
Omo1,168.74
Omo1,168.48
Omo1,168.41
Omo1,169.47
Omo1,168.93
Omo1,168.44
Omo1,168.28
Omo1,169.57
Omo1,170.08
Omo1,171.53
Omo1,169.70
Omo1,168.24
