Pixels,Controle1,Omo1,Sabao1,Vanish1,Candida1
0,169.8,171.68,169.76,166.62,166.39
1,171.92,168.1,169.87,165.68,166.14
2,175.68,167.69,169.67,167.33,165.2
3,178.99,169.2,169.24,167.65,164.69
4,178.05,171.7,170.52,167.23,163.88
5,175.85,170.66,170,166.2,163.47
6,172.26,169.2,168.94,167.46,164.16
7,171.01,166.71,167.9,167.9,164.42
8,173.62,167.23,168.58,167.12,164.88
9,175.39,171.42,168.13,166,164.82
10,177.64,174.74,167.12,166.43,164.82
11,178.11,173.65,167.85,166.64,164.44
12,172.68,170.23,170.62,165.77,163.93
13,167.72,167.61,170.15,164.85,163.36
14,168.11,168.59,170.7,166.81,164.41
15,169.85,170.51,170.35,166.83,164.75
16,173.59,172.73,169.27,167.31,166.33
17,175.61,172.07,169.5,165.99,166.51
18,175.62,169.87,169.18,166.15,164.31
19,173.71,168.78,169.38,167.28,163.39
20,169.8,168.82,170.95,167.84,163.32
21,170.65,169.9,170.87,166.82,162.02
22,173.02,172.69,169.58,166.56,163.73
23,176.09,171.93,168.2,164.81,164.99
24,177.17,169.4,167.47,166.47,164.53
25,175.48,166.91,167.96,166.92,163.04
26,171.42,167.76,168.54,168.37,161.55
27,169.51,170.26,168.96,168.89,162.21
28,169.54,170.13,170.09,167.75,162.96
29,171.5,169.41,169.45,165.31,163.17
30,174.13,169.05,169.36,167.58,163.9
31,176.32,168.68,167.97,167.04,163.81
32,176.13,170.08,166.99,167.34,163.3
33,175.8,170.49,168.13,166.68,161.51
34,172.25,169.87,168.67,166.87,161.2
35,170.66,169.66,167.8,167.29,162.23
36,170.77,168.71,167.95,167.44,164.51
37,173.68,168.03,167.91,167.3,163.87
38,174.47,170.44,168.05,168.84,164.67
39,175.99,170.67,168.1,167.79,163.3
40,173.13,169.62,168.93,165.73,161.61
41,169.12,167.74,168.78,165.13,161.65
42,169.08,166.77,168.21,167.4,163.02
43,172.52,167.76,167.72,168.75,164.27
44,174.97,169.32,168.37,167.65,165.53
45,175.26,169.39,167.49,165.7,163.69
46,172.6,169.09,167.82,166.89,163.63
47,171.98,167.96,167.81,166.99,162.01
48,171.98,169.05,168.13,169.18,162.12
49,171.93,171.18,167.78,167.27,162.21
50,173.86,171.4,167.93,166.16,163.24
51,176.34,169.94,167.27,166.25,164.18
52,175.02,168.79,167.32,167.28,164.46
53,173.83,167.28,167.08,167.15,163.56
54,170.15,169.43,168.35,168.53,164.36
55,168.79,171.22,169.6,166.63,163.92
56,169.62,171.99,169.92,165.59,164.19
57,172.58,170.69,168.3,165.87,164.24
58,174.07,169.43,166.71,167.34,164.56
59,176,168.16,166.54,168.53,165.01
60,172.8,168.07,166.97,167.33,164.45
61,170.25,167.43,167.68,164.38,163.72
62,170.13,169.78,169.22,164.8,164.89
63,172.97,169.99,168.67,166.59,164.4
64,175.39,169.05,167.51,167.51,165.1
65,175.79,168.48,167.32,166.59,164.46
66,173.18,170.33,168.26,165.81,163.93
67,172.58,170.74,168.13,166.15,163.92
68,171.32,168.5,167.85,166.18,164.94
69,170.08,167.91,167.81,167.43,166.24
70,172.71,169.02,167.66,169.73,166.99
71,175.18,169.61,166.75,167.36,166.14
72,176.5,170.69,165.83,164.72,166.22
73,175.98,170.3,166.63,164.49,164.96
74,172.11,168.98,166.92,165.83,163.77
75,170.59,168.18,166.88,165.71,164.88
76,170.16,168.84,167.48,165.13,166.97
77,172.25,169.6,167.31,164.82,166.55
78,174.8,169.62,167.35,165.92,165.37
79,176.59,167.14,167.26,165.3,163.39
80,175.16,166.64,168.26,166.26,161.73
81,172.78,166.58,168.61,166.68,161.52
82,168.49,167.43,168.55,167.39,163.45
83,167.49,168.05,168.28,167.28,164.73
84,169.62,167.9,168.26,166.32,166.12
85,173.43,168.9,167.48,165.58,165.7
86,173.98,170.5,167.71,166.58,164.7
87,173.9,169,168.37,167.57,163.62
88,172.99,167.74,168.9,166.79,163.58
89,170.76,167.21,169.22,165.22,164.2
90,171.75,168.77,169.87,165,164.75
91,174.84,169.8,168.02,166.83,165.13
92,176.67,170.8,167.96,166.44,164.26
93,175.13,168.3,167.48,165.7,162.38
94,171.82,167.19,169.3,165.79,162.83
95,171.41,166.47,170.22,164.27,162.96
96,170.81,168.43,169.81,165.3,164.15
97,170.13,169.11,168.9,165.7,165.12
98,171.07,169.87,167.7,165.48,165.45
99,174.72,169.7,167.5,164.53,164.11
100,175.24,167.72,168.27,163.86,162.97
101,174.65,166.75,168.31,164.64,162.04
102,171.22,167.75,169.3,167.25,163.12
103,170.52,169.49,168.89,167.06,164.36
104,171.53,171.63,168.74,165.41,165.59
105,172.67,168.93,169.37,164.47,162.97
106,174.35,167.44,169.23,165.08,160.19
107,177.37,165.56,168.41,164.57,160.42
108,174.67,166.97,169.18,164.68,161.14
109,172.27,168.41,169.78,165.08,162.29
110,170.84,169.63,169.49,165.67,165.89
111,170.18,168.33,168.45,165.54,164.13
112,170.79,168.01,168.97,166.96,162.78
113,173.36,167.11,169.2,166.33,161.97
114,173.76,169.21,169.29,165.58,161.95
115,174.22,169.83,169.36,164.75,163.43
116,172.72,168.17,169.96,163.43,164.14
117,172.15,166.04,169.2,162.42,163.7
118,172.87,168.53,168.54,164.71,163.6
119,174.13,170.92,168.91,164.85,162.5
120,173.8,172.01,169.78,165.27,163.06
121,173.03,169.1,170.39,164.66,163.49
122,170.49,167.58,169.98,164.93,164.1
123,171.83,167.09,169.92,164.63,164.2
124,172.35,168.72,169.39,164.64,163.05
125,173.38,170.57,168.4,164.94,162.39
126,174.98,170.46,169.09,164.53,163.24
127,175.71,168.45,169.82,165.17,162.43
128,175.38,169.74,169.52,166.28,162.22
129,175.4,170.7,170.14,164.84,162.27
130,174.01,171.94,169.89,165.15,162.39
131,174.38,171.86,169.54,165.87,163.03
132,173.41,171.58,168.79,166,162.44
133,173.88,169.35,168.47,163.96,160.79
134,174.6,169.81,169.09,165.81,162.18
135,174.52,169.36,168.26,166.78,161.83
136,173.78,169.16,167.41,167.01,162.6
137,173.21,168.23,168.28,165.64,162.85
138,172.42,168.48,169.02,164.83,162.89
139,172.41,169.34,168.98,164.53,162.57
140,172.73,168.39,169.65,164.31,161.83
141,173.91,168,168.47,165.22,159.49
142,173.52,168.59,169.01,166.85,160.07
143,173.47,169.64,169.63,166.77,159.94
144,173.08,170.26,170.32,164.94,160.01
145,172.59,168.68,170.47,164.75,160.38
146,170.78,168.1,170.61,165.03,161.24
147,172.81,169.29,170.79,165.68,162.05
148,172.56,169.31,171.06,165.96,160.99
149,173.28,168.69,169.34,164.58,160.07
150,172.82,168.64,168.78,165.16,160.74
151,172.88,166.81,168.69,164.84,161.71
152,171.82,167.96,169.79,166.65,162.75
153,169.93,168.17,170.72,165.26,163.05
154,170.85,169.33,170.41,164.09,163.04
155,173.97,168.54,169.9,164.51,161.77
156,173.54,167.55,169.62,165.23,160.6
157,172.15,167.72,168.92,165.38,159.84
158,171.33,168.54,169.27,165.62,161.25
159,170.97,167.16,169.88,164.14,161.69
160,172.63,168.06,170.96,164.38,162.01
161,174.74,169.54,170.66,163.36,161.13
162,173.79,170.13,171.19,164.63,160.96
163,173.33,170.95,170.2,165.64,160.44
164,170.91,170.42,169.21,165.97,159.67
165,170.55,168.55,169.37,164.26,160.1
166,171.02,169.89,169.28,163.96,162.45
167,172.05,170.96,169.11,163.67,162.89
168,173.87,170.15,169.63,163.62,161.87
169,173.62,168.18,170.18,163.6,160.69
170,173.12,168.73,170.84,163.93,159.99
171,173.96,169.44,171,164.68,160.69
172,172.99,169.91,171.2,164.72,161.73
173,173.18,169.71,169.18,164.02,162.09
174,172.2,169.78,168.73,163.43,161.68
175,173.76,169.1,169.43,163.85,160.12
176,174.12,170.9,170.07,165.92,160.13
177,174.52,171.11,170.23,164.36,160.82
178,173.46,169.67,169.99,163.66,162.11
179,173.29,168.78,168.92,164.77,162.64
180,171.62,168.52,169.12,164.92,162.7
181,169.89,168.67,168.54,164.24,161.49
182,171.16,171.66,169.69,164.32,161.26
183,173.29,171.26,170.53,163.08,159.97
184,174.8,170.37,170.29,163.55,160.4
185,174.51,167.71,169.86,164.51,162.24
186,172.14,166.74,169.27,165.9,163.04
187,171.39,168.22,167.64,164.35,163
188,170.06,170.78,168.03,162.39,162.74
189,170.93,170.05,168.71,162.12,161.9
190,172.67,168.89,170.1,163.97,161.47
191,175.03,165.63,169.79,164.56,160.28
192,176.18,165.49,168.55,166.05,160.71
193,175.54,167.05,168.12,164.82,162.07
194,171.7,169.01,168.21,162.6,162.84
195,169.79,170.07,168.58,162.6,163.57
196,169.26,170.22,169.52,162.65,161.68
197,171.34,168.6,169.56,163.18,160.12
198,174.71,168.94,170.28,163.57,160.12
199,177.76,167.43,170.14,163.74,159.83
200,176.74,168.55,170.1,164.55,161.21
201,173.07,168.44,169.77,164.23,162.87
202,170.24,168.01,168.91,164.21,164.52
203,171.77,168.46,168.18,164.41,164.33
204,174.07,169.6,168.73,164.08,161.86
205,177.07,170.73,169.08,162.97,159.34
206,177.8,168.68,170.02,163.66,159.12
207,175.49,165.81,170.65,163.92,158.58
208,170.5,167.58,170.79,164.66,160.96
209,168.56,169.54,170.57,163.72,162.8
210,169.39,169.64,170.66,161.72,162.35
211,173.17,169.42,170.9,161.37,161.71
212,175.9,168.97,171.25,162.05,160.68
213,177.03,167.85,170.08,162.37,160.57
214,174.68,169.59,168.95,163.73,161.38
215,171.64,171.16,168.17,163.47,160.82
216,169.78,170.65,167.74,163.08,161.9
217,170.47,167.99,169.02,162.45,161.91
218,172.95,168.05,169.67,163.49,160.65
219,177.8,168.69,169.83,164.39,160
220,177.17,169.61,170.01,164.64,160.98
221,174.41,170.08,169.11,163.2,162.03
222,168.71,170.52,169.21,164.64,162.39
223,166.55,167.73,169.04,164.04,161.25
224,168.4,167.88,169.37,165.91,161.19
225,170.99,170.15,169.36,165.61,160.99
226,174.7,172.12,170.27,163.9,161.05
227,178.93,171.22,169.92,162.88,161.89
228,177.53,168.41,169.79,163.6,162.61
