Grupos,Controle_2
Controle_2,187.81
Controle_2,187.80
Controle_2,188.17
Controle_2,188.82
Controle_2,189.60
Controle_2,189.95
Controle_2,189.73
Controle_2,190.27
Controle_2,189.28
Controle_2,188.59
Controle_2,188.08
Controle_2,188.14
Controle_2,188.83
Controle_2,189.04
Controle_2,188.24
Controle_2,188.47
Controle_2,188.76
Controle_2,188.28
Controle_2,188.20
Controle_2,188.51
Controle_2,188.71
Controle_2,189.46
Controle_2,190.25
Controle_2,190.75
Controle_2,190.72
Controle_2,190.26
Controle_2,190.14
Controle_2,190.10
Controle_2,189.97
Controle_2,189.98
Controle_2,190.26
Controle_2,190.53
Controle_2,190.63
Controle_2,190.62
Controle_2,191.12
Controle_2,190.77
Controle_2,190.64
Controle_2,190.50
Controle_2,190.25
Controle_2,190.91
Controle_2,191.25
Controle_2,190.18
Controle_2,189.61
Controle_2,189.87
Controle_2,189.88
Controle_2,189.36
Controle_2,189.55
Controle_2,190.09
Controle_2,189.92
Controle_2,189.43
Controle_2,188.83
Controle_2,188.71
Controle_2,188.40
Controle_2,188.32
Controle_2,189.29
Controle_2,189.20
Controle_2,189.40
Controle_2,189.27
Controle_2,188.76
Controle_2,188.21
Controle_2,187.71
Controle_2,188.67
Controle_2,189.59
Controle_2,189.72
Controle_2,190.46
Controle_2,190.27
Controle_2,190.61
Controle_2,189.96
Controle_2,190.30
Controle_2,190.28
Controle_2,190.99
Controle_2,191.73
Controle_2,192.09
Controle_2,191.54
Controle_2,191.88
Controle_2,192.18
Controle_2,192.62
Controle_2,192.50
Controle_2,192.98
Controle_2,193.23
Controle_2,193.74
Controle_2,193.45
Controle_2,193.76
Controle_2,194.04
Controle_2,193.82
Controle_2,193.94
Controle_2,193.55
Controle_2,193.46
Controle_2,193.03
Controle_2,192.75
Controle_2,193.50
Controle_2,192.50
Controle_2,191.49
Controle_2,191.96
Controle_2,191.11
Controle_2,191.73
Controle_2,192.02
Controle_2,191.42
Controle_2,192.04
Controle_2,192.19
Controle_2,191.59
Controle_2,190.83
Controle_2,190.49
Controle_2,191.41
Controle_2,191.34
Controle_2,191.05
Controle_2,191.51
Controle_2,191.44
Controle_2,191.08
Controle_2,191.46
Controle_2,191.13
Controle_2,190.84
Controle_2,190.11
Controle_2,189.62
Controle_2,190.05
Controle_2,190.91
Controle_2,191.02
Controle_2,190.44
Controle_2,190.77
Controle_2,191.09
Controle_2,191.52
Controle_2,191.43
Controle_2,191.60
Controle_2,191.40
Controle_2,191.39
Controle_2,191.76
