Pixel,Controle_2,Omo_2,Vanish_2,Sabao_2,Candida_2
0,187.81,171.09,179.62,157.81,175.91
1,187.8,171.29,179.98,157.09,176.16
2,188.17,171.88,178.9,156.52,176
3,188.82,171.76,179.18,155.01,175.48
4,189.6,171.04,179.47,154.16,175.38
5,189.95,170.18,179.17,154.16,175.67
6,189.73,169.81,180.46,154.46,175.77
7,190.27,169.59,180.31,155.12,176.77
8,189.28,170.36,180.03,155.93,177.76
9,188.59,169.34,179.78,155.68,177.31
10,188.08,169.82,180.23,157.04,177.21
11,188.14,170.38,181.02,157.67,177.23
12,188.83,170.56,181.18,158.09,177.48
13,189.04,170.65,180.94,157.77,177.41
14,188.24,171.79,180.62,156.41,177.53
15,188.47,171.65,180.37,155.78,178.28
16,188.76,170.71,179.97,155.17,177.84
17,188.28,169.54,180.26,154.5,177.05
18,188.2,170.66,180.18,154.59,176.78
19,188.51,169.79,180.75,155.05,176.22
20,188.71,170.05,181.26,155.67,176.99
21,189.46,170.01,180.73,156.08,177.46
22,190.25,170.28,181.09,157.56,177.49
23,190.75,169.67,180.83,158.37,178.22
24,190.72,170.24,180.6,158.75,179.19
25,190.26,170.58,181.31,158.33,178.98
26,190.14,171.65,181.47,158.31,178.31
27,190.1,172.1,181.69,157.13,177.7
28,189.97,172.73,181.78,155.85,177.36
29,189.98,171.55,181.8,155.62,177.47
30,190.26,171.43,181.3,155.02,177.73
31,190.53,170.51,181.23,155.12,178.39
32,190.63,169.84,181.24,155.48,178.72
33,190.62,169.06,181.87,155.62,178.64
34,191.12,170.34,181.85,157.04,178.02
35,190.77,170.48,182.14,157.62,177.28
36,190.64,170.8,181.94,157.72,176.95
37,190.5,171.13,182.15,157.63,176.68
38,190.25,171.54,181.85,157.29,176.64
39,190.91,171.59,181.66,156.21,177.31
40,191.25,172,180.88,155.27,177.85
41,190.18,171.21,182.12,155.25,177.6
42,189.61,171.93,182.88,154.97,177.31
43,189.87,172.13,183,155.91,176.88
44,189.88,170.86,183.43,156.09,176.99
45,189.36,170.47,182.68,155.46,177.47
46,189.55,170.72,182.45,155.95,177.7
47,190.09,171.02,181.98,157.99,178.14
48,189.92,171.59,182.23,158.77,178.32
49,189.43,171.92,182.77,158.09,178.01
50,188.83,172.31,182.99,157.61,178.26
51,188.71,171.69,183.95,156.8,178.43
52,188.4,170.57,182.89,155.6,178.45
53,188.32,170.92,181.83,153.97,178.33
54,189.29,170.59,181.88,154.72,178.15
55,189.2,170.56,182.15,155.8,178.26
56,189.4,171.03,182.61,156.05,178.3
57,189.27,170.22,183.2,155.27,178.76
58,188.76,171.24,182.15,156.26,178.91
59,188.21,171.9,182.92,156.88,178.83
60,187.71,171.66,182.75,157.23,179.18
61,188.67,172.06,182.07,156.9,179.38
62,189.59,172.7,181.75,156.97,180.15
63,189.72,172.25,182.04,156.76,180.93
64,190.46,171.93,182.02,156.17,181.22
65,190.27,170.52,182.83,154.77,180.92
66,190.61,170.58,182.6,154.58,181.09
67,189.96,170.44,182.69,155.05,181.28
68,190.3,171.1,182.36,156.02,181.45
69,190.28,171.77,181.92,156.12,181.61
70,190.99,171.21,182.2,156.66,181.17
71,191.73,171.53,181.83,156.59,181.26
72,192.09,172.17,181.56,157.26,181.04
73,191.54,171.57,181.88,157.23,180.68
74,191.88,172.8,181.56,157.98,180.86
75,192.18,172.35,181.94,158.36,180.95
76,192.62,171.47,182.77,157.32,180.36
77,192.5,171.03,182.66,156.41,180.14
78,192.98,170.19,182.61,156.14,179.82
79,193.23,170.65,182.76,155.95,179.44
80,193.74,171.76,181.94,156.91,178.49
81,193.45,171.29,181.67,156.38,178.52
82,193.76,171.85,180.78,156.99,178.55
83,194.04,170.84,181.71,157.29,178.38
84,193.82,171.62,181.46,156.32,178.11
85,193.94,171.45,181.34,156.91,177.86
86,193.55,172.11,181.34,156.86,178
87,193.46,171.61,181.31,157.04,178.62
88,193.03,171.88,181.93,157.4,178.32
89,192.75,171.38,183.03,156.38,178.15
90,193.5,172.58,182.13,156.56,178.47
91,192.5,172.8,182.28,156.58,179.01
92,191.49,173.18,182.74,156.85,179.07
93,191.96,173.22,182.88,157.13,178.35
94,191.11,173.4,182.13,157.11,177.97
95,191.73,173.11,181.82,157.08,178.45
96,192.02,172.77,181.41,156.89,178.53
97,191.42,172.27,183.3,156.05,178.92
98,192.04,172.87,182.85,157.44,178.65
99,192.19,172.39,183.22,157.39,178.69
100,191.59,171.81,183.16,156.72,178.85
101,190.83,172.39,182.31,157.15,178.66
102,190.49,172.79,182.38,157.35,177.67
103,191.41,172.5,181.86,156.14,177.08
104,191.34,172.54,182.51,156.39,177.44
105,191.05,172.28,183.01,155.75,178.22
106,191.51,173.15,182.81,156.82,178.28
107,191.44,173.39,182.65,156.3,178.33
108,191.08,173.49,182.4,156.84,178.76
109,191.46,174.28,182.35,157.12,179.18
110,191.13,174.33,182.45,157.71,178.69
111,190.84,173.92,181.66,157.76,177.94
112,190.11,173.93,181.75,158.1,178.13
113,189.62,173.52,182.18,157.05,178.32
114,190.05,174.26,181.84,156.85,179.07
115,190.91,173.56,182.18,155.7,179.15
116,191.02,173.01,182.68,155.07,179.35
117,190.44,173.55,182.84,155.45,179.68
118,190.77,174.28,182.24,156.59,179.76
119,191.09,174.75,181.74,156.3,179.43
120,191.52,174.69,181.76,156.7,179.33
121,191.43,174.46,182.21,156.84,179.51
122,191.6,175.91,181.47,157.5,179.59
123,191.4,175.42,182.5,157.63,180
124,191.39,175.51,182.98,157.83,180.6
125,191.76,175.53,182.88,157.9,180.99
126,191.84,174.84,182.01,157.71,180.87
127,192.23,173.93,181.81,156.91,180.89
128,192.36,174.92,181.68,155.63,180.47
129,191.4,174.72,182.76,154.87,180.31
130,191.76,175.71,182.88,156.54,180.43
131,192.23,175.21,182.55,156.98,180.02
132,192.66,174.57,183.35,156.9,180.03
133,193.02,174.7,183.43,156.98,179.89
134,193.41,175,182.79,157.66,179.31
135,193.68,175.01,182.35,157.54,179.91
136,193.9,175.05,181.59,158.21,179.78
137,193.83,173.61,181.46,157.63,180.14
138,194.42,172.97,181.26,158.09,180.23
139,194.5,174.01,181.33,156.56,180.21
140,193.48,174.71,181.46,155.9,180.18
141,193.37,175.14,181.97,155.57,180.62
142,192.76,174.6,182.31,155.73,180.62
143,192.82,174.45,182.78,156.07,181.12
144,192.35,173.87,182.63,156.99,181.45
145,191.89,173.69,183.4,156.37,181.59
146,192.48,174.02,183.75,157.69,181.32
147,192.79,175.09,183.68,158.69,181.36
148,192.42,175.34,184.41,159.2,181.65
149,192.33,174.61,183.29,158.28,182.09
150,192.34,174.34,183.39,157.74,181.06
151,191.92,174.32,182.91,156.95,180.46
152,191.51,175.04,182.6,157.12,181
153,191.45,174.83,183.95,155.36,181.58
154,192.66,174.72,182.96,157.13,181.76
155,192.59,173.92,183.9,157.49,181.58
156,192.43,173.34,183.4,157.46,181.8
157,192.76,173.74,183.29,158.37,181.83
158,192.5,175.58,183.54,158.91,181.54
159,192.67,175.37,183.35,159.11,181.22
160,192.87,174.92,183,159.49,181.03
161,192.41,173.76,184.6,158.19,180.93
162,192.74,174.71,184.37,157.24,180.8
163,192.67,174.05,184.9,157.74,180.51
164,192.4,173.68,184.26,157.19,180.92
165,192.11,173.58,183.5,156.17,180.51
166,191.64,174.77,183.36,155.66,179.71
167,192.01,175.46,182.51,155.98,179.57
168,192.18,175.6,182.51,156.45,178.82
169,191.68,174.44,184.28,156.32,178.27
170,191.68,175.31,184.19,158.47,178.2
171,192.05,174.14,184.67,158.9,178.19
172,192.52,173.07,184.35,159.45,178.06
173,192.34,173.86,184.09,160.17,178.28
174,191.84,174.07,184.13,159.99,178.07
175,191.96,173.69,184.27,159.09,177.82
176,191.64,173.77,183.48,157.8,177.61
177,191.43,173.6,184.24,155.99,177.29
178,192.25,174.88,184.06,155.16,177.26
179,192.81,175.89,185.06,154.95,178
180,192.25,176.49,184.97,156.33,178.57
181,191.82,175.93,184.07,157.62,178.93
182,191.31,175.34,183.19,158.07,178.68
183,191.3,174.82,182.23,158.3,178.59
184,192.03,175.43,182.21,158.95,178.28
185,191.73,174.33,183.99,160.13,178.91
186,192.04,175.32,183.51,160.52,178.96
187,191.92,176.03,184.03,159.52,179.05
188,191.41,175.52,184.61,158.2,179.52
189,191.4,174.8,184.9,156.36,180.05
190,191.52,174.81,184.22,155.68,180.09
191,191.96,175.83,183.56,155.69,180.05
192,192.64,176.01,183.11,156.57,180
193,192.92,174.91,183.21,156.71,180.36
194,192.98,175.68,182.55,158.22,180.3
195,192.86,175.16,183.06,159.34,180.85
196,192.43,175.48,184.41,159.95,181.53
197,192.23,176.66,184.35,160.11,181.75
198,192.69,176.91,184.75,160.41,181.19
199,193.14,176.58,184.73,159.51,181.27
200,192.89,176.09,184.22,157.7,181
201,193.13,174.46,184.94,155.81,180.33
202,194.29,176.22,184.37,155.27,179.93
203,194.9,176.32,186.03,156.42,179.69
204,194.65,175.62,185.65,157.03,180.49
205,194.27,175.82,185.33,157.55,180.72
206,193.95,176.67,185.64,158.52,180.18
207,193.99,177.52,184.96,158.98,180.5
208,194.09,177.32,184.29,160.21,180.75
209,193.64,176.41,184.02,161.07,180.56
210,194.16,176.23,183.49,161.58,179.96
211,194.09,175.97,184.51,160.57,179.05
212,194.18,175.55,185.45,159.35,179.54
213,193.65,174.93,185.41,158.04,180.91
214,193.22,174.97,186.04,157.71,180.93
215,192.81,175.06,185.69,157.69,181.16
216,192.59,176.1,184.79,158.12,181.13
217,192.35,175.47,184.6,158.12,180.66
218,192.49,175.79,184.37,159.38,181.08
219,193.19,176.79,184.63,159.68,180.9
220,193.03,177.31,185.15,160.45,180.39
221,193.04,177.73,184.84,161.1,180.88
222,192.78,177.08,184.5,161.45,180.65
223,192.85,176.25,184.04,160.86,180.58
224,192.91,176.32,184.05,159.26,181.13
225,192.65,176.04,185.01,156.9,180.99
226,193.05,175.98,184.68,157.52,181.36
227,193.37,176.77,183.9,158.27,181.05
228,193.69,177.49,184.46,158.74,181.1
229,194.06,178.04,184.63,157.96,181.39
230,193.76,178.7,185,158.75,180.88
231,194.24,179.39,184.97,159.57,180.85
232,194.45,179.98,185.1,160.8,180.72
233,194.06,179.46,185.22,161.01,180.66
234,194.97,180.13,184.97,161.52,180.59
235,194.29,180.06,186.29,161.77,180.2
236,194.44,178.51,187.07,160.56,180.18
237,195.18,177.88,187.73,159.39,179.72
238,195.02,177.58,187.57,158.43,179.71
239,194.84,178.1,187.07,157.83,180.3
240,194.92,178.35,186.39,158.58,180.27
241,194.88,178.57,186.07,159.3,180.4
242,194.81,181.43,186.34,159.73,180.23
243,194.33,181.72,186.59,160.99,179.83
244,194.15,181.1,187.14,161.45,179.34
245,194.44,180.38,187.12,161.78,179.26
246,194.13,179.07,187.1,162.09,178.36
247,194.38,178.53,186.16,161.36,179.22
248,194.34,178.75,185.92,160.69,180.22
249,193.91,177.34,186.21,159.74,180.27
250,194.04,178.18,185.64,160.49,179.66
251,194.07,179.1,185.93,160.15,179.89
252,193.8,179.6,187.28,159.68,179.82
253,194.31,180.34,187.14,159.82,179.32
254,194.87,180.72,186.81,160.46,179.41
255,194.54,180.69,186.58,160.76,180.24
256,194.74,180.02,187.09,161.95,180.43
257,193.84,179.38,187.36,161.18,180.99
258,194.23,178.76,186.62,162.37,181.43
259,194.69,178.53,187.36,161.57,180.39
