Pixel,Controle_2,Omo_2,Vanish_2,Sabao_2,Candida_2
0,196.06,170.33,179.83,155.91,182.86
1,196.34,170.15,180.34,155.46,181.83
2,196.54,170.41,180.85,155.77,181.75
3,196.90,170.79,181.95,155.88,181.75
4,196.70,171.03,182.15,155.83,182.21
5,196.14,171.11,182.05,157.22,182.40
6,195.95,171.22,182.03,157.90,181.75
7,195.28,171.51,181.07,158.19,180.97
8,194.56,171.93,180.08,157.40,180.64
9,194.72,170.59,180.25,157.40,180.73
10,193.72,171.25,181.37,157.42,179.77
11,192.55,171.37,182.06,157.04,178.80
12,193.06,170.10,181.79,155.58,179.01
13,191.79,170.65,180.77,155.25,179.26
14,192.50,171.73,181.40,153.76,179.70
15,192.61,171.44,180.13,154.10,179.75
16,191.90,172.18,179.79,154.76,178.90
17,192.55,172.59,179.46,156.83,178.75
18,192.66,171.99,180.22,159.35,178.97
19,191.86,171.31,181.87,159.51,179.22
20,190.68,170.31,183.17,158.76,178.80
21,190.38,171.39,181.84,158.24,179.07
22,191.29,170.74,181.62,158.01,179.60
23,191.06,171.76,181.25,157.92,180.03
24,191.07,172.94,181.36,156.47,180.07
25,191.68,171.60,181.08,156.16,179.88
26,191.16,171.14,181.76,156.65,179.65
27,190.52,172.23,181.77,154.76,179.57
28,190.60,170.89,183.83,155.05,179.74
29,189.61,171.88,182.64,155.50,179.22
30,189.31,171.85,181.98,156.84,178.88
31,188.42,171.35,180.39,157.78,178.75
32,187.83,171.20,179.42,157.66,178.91
33,188.10,170.63,179.35,158.46,178.23
34,189.42,170.85,179.36,159.01,177.85
35,189.55,171.89,180.60,159.35,177.79
36,188.55,171.43,182.06,158.19,178.57
37,189.04,171.97,181.92,157.53,178.67
38,189.52,170.13,182.23,156.33,178.51
39,190.26,170.84,181.12,155.26,179.14
40,190.37,170.95,180.90,153.69,179.18
41,190.28,171.44,180.74,155.60,179.19
42,190.47,171.16,180.50,156.83,178.37
43,190.70,171.73,180.65,158.34,178.17
44,191.58,171.03,181.64,158.93,178.57
45,191.77,171.86,181.04,159.71,179.73
46,192.51,172.28,181.36,159.12,180.35
47,192.92,172.62,181.11,159.14,180.32
48,191.70,172.96,180.85,157.99,180.99
49,192.13,172.80,181.49,157.05,181.32
50,192.54,172.07,181.16,155.92,181.47
51,192.73,171.42,180.91,155.45,180.88
52,193.47,170.95,182.56,155.38,180.84
53,194.26,171.55,181.70,155.62,180.57
54,194.81,170.95,182.17,155.65,180.75
55,195.01,171.10,181.90,157.64,181.59
56,194.36,172.49,181.52,157.38,182.00
57,194.81,172.28,180.34,158.60,182.12
58,195.22,172.09,180.47,157.33,182.50
59,194.24,171.89,180.61,156.79,181.73
60,194.18,170.42,181.82,157.19,181.32
61,193.54,172.11,182.54,158.52,180.95
62,193.26,172.97,182.20,157.48,180.48
63,193.18,172.98,182.36,156.41,180.63
64,192.35,173.86,182.01,155.84,181.11
65,192.35,174.10,181.54,154.96,181.55
66,193.23,174.43,182.20,155.26,182.20
67,193.45,175.59,181.26,155.90,181.77
68,193.43,175.61,180.97,156.63,181.85
69,192.83,176.58,180.39,158.14,181.94
70,192.17,175.21,180.46,158.28,181.95
71,191.54,173.67,180.74,158.22,181.85
