Grupos,Valores de Cinza
Controle_2,196.06
Controle_2,196.34
Controle_2,196.54
Controle_2,196.9
Controle_2,196.7
Controle_2,196.14
Controle_2,195.95
Controle_2,195.28
Controle_2,194.56
Controle_2,194.72
Controle_2,193.72
Controle_2,192.55
Controle_2,193.06
Controle_2,191.79
Controle_2,192.5
Controle_2,192.61
Controle_2,191.9
Controle_2,192.55
Controle_2,192.66
Controle_2,191.86
Controle_2,190.68
Controle_2,190.38
Controle_2,191.29
Controle_2,191.06
Controle_2,191.07
Controle_2,191.68
Controle_2,191.16
Controle_2,190.52
Controle_2,190.6
Controle_2,189.61
Controle_2,189.31
Controle_2,188.42
Controle_2,187.83
Controle_2,188.1
Controle_2,189.42
Controle_2,189.55
Controle_2,188.55
Controle_2,189.04
Controle_2,189.52
Controle_2,190.26
Controle_2,190.37
Controle_2,190.28
Controle_2,190.47
Controle_2,190.7
Controle_2,191.58
Controle_2,191.77
Controle_2,192.51
Controle_2,192.92
Controle_2,191.7
Controle_2,192.13
Controle_2,192.54
Controle_2,192.73
Controle_2,193.47
Controle_2,194.26
Controle_2,194.81
Controle_2,195.01
Controle_2,194.36
Controle_2,194.81
Controle_2,195.22
Controle_2,194.24
Controle_2,194.18
Controle_2,193.54
Controle_2,193.26
Controle_2,193.18
Controle_2,192.35
Controle_2,192.35
Controle_2,193.23
Controle_2,193.45
Controle_2,193.43
Controle_2,192.83
Controle_2,192.17
Controle_2,191.54
Controle_2,191.48
Controle_2,192.98
Controle_2,192.91
Controle_2,192.25
Controle_2,192.48
Controle_2,192.4
Controle_2,192.81
Controle_2,192.92
Controle_2,192.77
Controle_2,193.5
Controle_2,193.07
Controle_2,192.52
Controle_2,192.36
Controle_2,191.88
Controle_2,192.11
Controle_2,191.76
Controle_2,190.97
Controle_2,191.1
Controle_2,191.29
Controle_2,192.09
Controle_2,191.76
Controle_2,191.4
Controle_2,191.68
Controle_2,191.56
Controle_2,190.99
Controle_2,191.89
Controle_2,193.13
Controle_2,192.88
Controle_2,192.73
Controle_2,192.72
Controle_2,192.82
Controle_2,193.22
Controle_2,192.96
Controle_2,193.47
Controle_2,193.74
Controle_2,192.68
Controle_2,192.4
Controle_2,191.94
Controle_2,192.48
Controle_2,193.43
Controle_2,193.32
Controle_2,192.68
Controle_2,192.57
Controle_2,191.78
Controle_2,191.01
Controle_2,192.26
Controle_2,192.69
Controle_2,192.8
Controle_2,193.62
Controle_2,194.48
Controle_2,194.49
Controle_2,194.49
Controle_2,194.53
Controle_2,194.69
Controle_2,195.2
Controle_2,195.56
Controle_2,195.03
Controle_2,195.88
Controle_2,195.25
Controle_2,194.72
Controle_2,193.89
Controle_2,193.62
Controle_2,193.22
Controle_2,193.54
Controle_2,192.63
Controle_2,192.65
Controle_2,193.88
Controle_2,193.6
Controle_2,193.22
Controle_2,193.13
Controle_2,192.79
Controle_2,192.91
Controle_2,192.48
Controle_2,192.88
Controle_2,193.24
Controle_2,193.67
Controle_2,193.92
Controle_2,193.92
Omo_2,170.33
Omo_2,170.15
Omo_2,170.41
Omo_2,170.79
Omo_2,171.03
Omo_2,171.11
Omo_2,171.22
Omo_2,171.51
Omo_2,171.93
Omo_2,170.59
Omo_2,171.25
Omo_2,171.37
Omo_2,170.1
Omo_2,170.65
Omo_2,171.73
Omo_2,171.44
Omo_2,172.18
Omo_2,172.59
Omo_2,171.99
Omo_2,171.31
Omo_2,170.31
Omo_2,171.39
Omo_2,170.74
Omo_2,171.76
Omo_2,172.94
Omo_2,171.6
Omo_2,171.14
Omo_2,172.23
Omo_2,170.89
Omo_2,171.88
Omo_2,171.85
Omo_2,171.35
Omo_2,171.2
Omo_2,170.63
Omo_2,170.85
Omo_2,171.89
Omo_2,171.43
Omo_2,171.97
Omo_2,170.13
Omo_2,170.84
Omo_2,170.95
Omo_2,171.44
Omo_2,171.16
Omo_2,171.73
Omo_2,171.03
Omo_2,171.86
Omo_2,172.28
Omo_2,172.62
Omo_2,172.96
Omo_2,172.8
Omo_2,172.07
Omo_2,171.42
Omo_2,170.95
Omo_2,171.55
Omo_2,170.95
Omo_2,171.1
Omo_2,172.49
Omo_2,172.28
Omo_2,172.09
Omo_2,171.89
Omo_2,170.42
Omo_2,172.11
Omo_2,172.97
