Grupos,Valores de Cinza
Controle_1,181.53
Controle_1,181.87
Controle_1,177.88
Controle_1,169.6
Controle_1,167.06
Controle_1,170.12
Controle_1,175.3
Controle_1,182.15
Controle_1,186.78
Controle_1,178.25
Controle_1,167.53
Controle_1,163.28
Controle_1,166.19
Controle_1,173.79
Controle_1,181.09
Controle_1,181.63
Controle_1,176.56
Controle_1,167.12
Controle_1,165.04
Controle_1,170.95
Controle_1,178.88
Controle_1,181.38
Controle_1,178.08
Controle_1,169.66
Controle_1,167.24
Controle_1,169.48
Controle_1,174.74
Controle_1,179.84
Controle_1,183.45
Controle_1,180.5
Controle_1,176.42
Controle_1,168.98
Controle_1,167.32
Controle_1,170.31
Controle_1,176.85
Controle_1,180.84
Controle_1,181.44
Controle_1,175.73
Controle_1,166.69
Controle_1,162.64
Controle_1,166.96
Controle_1,174.22
Controle_1,179.96
Controle_1,179.52
Controle_1,175.41
Controle_1,167.96
Controle_1,163.96
Controle_1,165.13
Controle_1,173.18
Controle_1,179.08
Controle_1,178.77
Controle_1,171.3
Controle_1,166.19
Controle_1,166.4
Controle_1,168.05
Controle_1,174.11
Controle_1,179.59
Controle_1,175.22
Controle_1,168.55
Controle_1,165.21
Controle_1,167.77
Controle_1,175.8
Controle_1,181.72
Controle_1,178.32
Controle_1,171.89
Controle_1,162.59
Controle_1,161.75
Controle_1,167.33
Controle_1,175.97
Controle_1,181.1
Controle_1,181.88
Controle_1,176.43
Controle_1,169.8
Controle_1,165.13
Controle_1,165.44
Controle_1,170.41
Controle_1,178.07
Controle_1,181.07
Controle_1,178.36
Controle_1,168.99
Controle_1,165.19
Controle_1,165.39
Controle_1,169.2
Controle_1,177.29
Controle_1,183.49
Controle_1,183.1
Controle_1,174.87
Controle_1,164.33
Controle_1,163.55
Controle_1,166.36
Controle_1,174.82
Controle_1,181.71
Controle_1,181.48
Controle_1,174.35
Controle_1,167.86
Controle_1,162.82
Controle_1,166.33
Controle_1,173.65
Controle_1,179.33
Controle_1,180.29
