Distance_(pixels),Gray_Value
0,192.12666
1,191.80000
2,193.06667
3,192.67334
4,190.72667
5,190.67334
6,193.82001
7,194.98000
8,193.21333
9,192.63333
10,192.90666
11,193.17999
12,193.24001
13,192.22000
14,191.04666
15,190.72667
16,193.88000
17,194.98666
18,194.85333
19,192.06667
20,191.61333
21,192.25999
22,191.98000
23,191.00667
24,191.11333
25,192.77333
26,194.26666
27,192.67334
28,191.39999
29,191.22667
30,191.95334
31,191.96001
32,192.53334
33,193.17999
34,195.56667
35,194.38000
36,193.58000
37,192.70000
38,191.46666
39,191.70667
40,192.44000
41,193.03334
42,195.39999
43,193.62666
44,192.41333
45,192.26666
46,190.72000
47,191.46666
48,191.84666
49,190.74667
50,194.17334
51,194.91333
52,192.55333
53,189.52667
54,190.60001
55,191.74667
56,191.23334
57,191.25333
58,193.23334
59,194.82666
60,193.94667
61,191.33333
62,192.72000
63,193.21333
64,193.35333
65,193.10667
66,194.45334
67,194.88667
68,193.76666
69,191.87334
70,193.15334
71,195.06000
72,193.30000
73,190.64667
74,193.14000
75,193.57333
76,191.54666
77,191.92000
78,192.49333
79,192.93333
80,193.34000
81,192.03334
82,191.62666
83,193.88667
84,194.16667
85,194.27333
86,193.20667
87,192.80000
88,192.33333
89,191.93333
90,194.75333
91,193.91333
92,191.36667
93,190.77333
94,193.74667
95,195.15334
96,193.06000
97,191.17999
98,193.46666
99,193.96001
100,192.33333
101,192.34000
102,192.39333
103,192.02667
104,191.58000
105,190.65334
106,192.20667
107,192.07333
108,191.67999
109,192.22000
110,192.70667
111,193.51334
112,193.16667
113,192.11333
114,191.51334
115,192.74667
116,191.88000
117,191.00667
118,192.16000
119,194.03999
120,194.05333
121,193.24001
122,193.35333
123,193.59334
124,192.89999
125,192.48000
126,193.88667
127,194.86000
128,194.75999
129,192.54666
130,193.62000
131,194.36000
132,192.35333
133,191.22000
134,193.46001
135,196.51334
136,194.90666
137,190.40666
138,191.06667
139,193.50000
140,193.33333
141,191.63333
142,191.60667
143,193.92000
144,194.78667
145,192.64000
146,191.86667
147,192.84000
148,193.21333
149,192.32666
