Distance_(pixels),Gray_Value
0,206.71333
1,206.85333
2,205.63333
3,206.20222
4,206.10222
5,206.58444
6,206.98000
7,206.32445
8,205.63110
9,205.39778
10,206.04445
11,206.42444
12,206.03778
13,205.83112
14,206.18445
15,205.60445
16,205.65778
17,204.86444
18,205.93111
19,206.34444
20,206.43777
21,205.48445
22,205.10445
23,205.19778
24,205.65778
25,205.21111
26,206.24445
27,206.32445
28,207.23778
29,207.63110
30,207.32445
31,206.82445
32,206.46445
33,206.37778
34,206.87111
35,207.52444
36,207.27112
37,206.41112
38,206.05112
39,206.43111
40,206.43777
41,206.73111
42,207.59778
43,207.70444
44,207.34444
45,207.65111
46,207.92444
47,208.46445
48,208.47112
49,207.79778
50,207.35110
51,206.90445
52,206.37111
53,206.20444
54,206.13777
55,206.66444
56,207.68445
57,207.46445
58,208.48445
59,208.37778
60,207.17778
61,207.51778
62,207.13110
63,206.57777
64,206.68445
65,206.16444
66,206.05112
67,206.39111
68,206.70444
69,207.26445
70,207.74445
71,208.15111
72,207.55779
73,206.53778
74,206.20444
75,206.27112
76,205.93111
77,205.24445
78,205.03778
79,205.11111
80,204.68445
81,204.65778
82,206.51778
83,206.23778
84,206.58444
85,205.73778
86,205.70444
87,206.39111
88,207.31111
89,206.39778
90,205.77112
91,205.89111
92,205.98445
93,206.97112
94,207.84444
95,208.47778
96,208.69778
97,208.17778
98,208.97778
99,209.91112
100,210.15778
101,210.49777
102,209.77112
103,209.52667
104,208.91333
105,208.33556
106,208.63556
107,208.36888
108,208.20889
109,207.34000
110,206.72667
111,207.56000
112,207.83333
113,206.56000
114,207.74667
115,207.44221
116,207.75555
117,208.61111
118,208.76666
119,208.41112
120,207.72444
121,207.77112
122,208.75778
123,208.87111
124,208.51778
125,208.56444
126,208.25111
127,207.52444
128,208.11778
129,207.59778
130,207.65111
131,207.81778
132,207.52444
133,207.84444
134,207.97112
135,208.38445
136,207.95778
137,207.57111
138,207.71111
139,208.54445
140,209.63110
141,210.17111
142,210.17778
143,209.38445
144,208.49110
145,208.79778
146,208.92444
147,208.79111
148,207.71111
149,207.19778
