Distance_(pixels),Gray_Value
0,190.35556
1,189.46222
2,191.70000
3,193.51334
4,192.44667
5,192.97334
6,192.36667
7,191.77333
8,192.10001
9,192.32001
10,191.78667
11,193.66667
12,194.22667
13,193.86000
14,192.36000
15,193.65334
16,193.40668
17,193.02000
18,191.76668
19,192.85333
20,195.33334
21,196.02667
22,192.90668
23,190.54001
24,193.49333
25,195.80667
26,192.83334
27,190.17334
28,190.38667
29,193.80667
30,193.14000
31,192.83334
32,191.81334
33,192.00000
34,192.80667
35,194.36667
36,192.30667
37,194.76668
38,192.83334
39,190.84666
40,192.53334
41,193.40001
42,192.62668
43,193.72000
44,193.76001
45,195.11334
46,193.46667
47,192.08667
48,190.90001
49,191.93333
50,192.30890
51,193.19556
52,193.40222
53,195.00890
54,194.36890
55,193.70222
56,192.44223
57,192.68222
58,193.14890
59,193.48889
60,193.26222
61,193.74889
62,193.89555
63,194.60889
64,192.52223
65,190.17555
66,191.36890
67,192.56889
68,193.28889
69,192.03555
70,192.06223
71,192.00890
72,192.75555
73,191.18222
74,189.60889
75,192.50890
76,194.49556
77,195.65556
78,193.17557
79,191.80223
80,192.06889
81,191.77556
82,189.69778
83,190.49779
84,192.31111
85,195.47778
86,192.67111
87,192.19112
88,192.27779
89,192.63112
90,190.51111
91,190.41779
92,193.00446
93,195.95778
94,193.51778
95,191.63779
96,193.20445
97,191.24445
98,189.68001
99,191.31334
100,192.44667
101,194.31334
102,192.54001
103,191.04668
104,191.63333
105,191.94000
106,189.38667
107,189.37334
108,191.14000
109,195.64000
110,194.62668
111,192.96667
112,191.09334
113,191.01334
114,190.34001
115,189.90668
116,188.18001
117,190.92000
118,193.67334
119,193.52000
120,191.08667
121,190.30000
122,189.64000
123,190.14000
124,189.91335
125,190.32001
126,192.28667
127,193.86000
128,192.87334
129,191.09334
130,191.86667
131,192.01334
132,190.79333
133,191.20667
134,192.62001
135,196.18001
136,194.85333
137,190.67334
138,189.58000
139,193.21333
140,192.62668
141,191.08000
142,192.78667
143,194.65334
144,195.71333
145,193.94000
146,192.17334
147,191.70667
148,191.42000
149,191.60001
