Distance_(pixels),Gray_Value
0,187.88445
1,189.23778
2,189.96445
3,190.15778
4,190.50444
5,190.17111
6,189.26889
7,188.73555
8,188.44888
9,188.88889
10,188.29555
11,188.93555
12,189.76889
13,189.70222
14,189.75555
15,189.32222
16,188.28221
17,187.20888
18,187.54889
19,187.58888
20,188.74222
21,189.42888
22,188.99333
23,189.20000
24,188.98000
25,189.23999
26,189.48666
27,187.72000
28,187.97333
29,189.89999
30,191.61333
31,190.87332
32,187.86000
33,188.58000
34,188.83333
35,187.06000
36,187.31999
37,187.98000
38,190.17111
39,190.37111
40,188.24445
41,188.41110
42,188.11777
43,188.76443
44,187.14444
45,186.51111
46,187.55777
47,188.57777
48,188.29778
49,189.51111
50,189.66444
51,189.35777
52,189.04443
53,188.69110
54,188.11333
55,188.25333
56,186.97333
57,189.73334
58,190.69333
59,189.89999
60,189.87334
61,188.92667
62,187.61333
63,187.91333
64,188.12666
65,189.22000
66,188.70667
67,189.95332
68,188.76666
69,188.87999
70,188.97110
71,188.39777
72,187.07111
73,186.44444
74,188.06444
75,188.63110
76,188.53111
77,187.79111
78,188.48444
79,189.63110
80,188.23778
81,188.26443
82,187.72444
83,187.18443
84,188.53111
85,189.05110
86,187.59332
87,187.61333
88,188.23332
89,188.22000
90,187.44000
91,188.20667
92,188.72665
93,188.75333
94,189.92667
95,189.67332
96,187.90666
97,186.84666
98,186.22000
99,186.34666
100,187.25333
101,188.94000
102,189.64667
103,189.63333
104,187.73999
105,189.48666
106,188.06000
107,188.12000
108,187.59999
109,188.44666
110,188.87332
111,188.24666
112,188.87999
113,189.62000
114,188.28000
115,186.95999
116,186.06667
117,186.37999
118,187.16444
119,189.13110
120,189.49777
121,189.97110
122,189.00444
123,186.94444
124,188.35777
125,188.35110
126,188.41777
127,188.88445
128,189.10445
129,191.71777
130,190.31111
131,188.41777
132,188.86444
133,188.41110
134,188.38666
135,187.96666
136,187.67332
137,188.39999
138,189.37999
139,190.03999
140,189.25333
141,188.39999
142,188.25333
143,188.57333
144,188.69333
145,188.81999
146,188.85333
147,188.81332
148,188.01332
149,188.58665
