Distance_(pixels),Gray_Value
0,188.84001
1,189.84666
2,190.12001
3,189.69334
4,189.44000
5,189.62001
6,190.54001
7,190.95334
8,191.38667
9,191.60001
10,190.44667
11,189.39334
12,189.76668
13,190.12001
14,189.62001
15,189.10001
16,188.67334
17,189.12001
18,189.39334
19,189.40001
20,190.07333
21,191.38667
22,192.05334
23,191.64000
24,191.21333
25,190.59334
26,190.13333
27,189.57333
28,188.80000
29,188.42667
30,188.84001
31,190.18668
32,191.36667
33,191.73334
34,191.33334
35,190.64890
36,191.18222
37,190.96889
38,190.35556
39,189.17557
40,188.46222
41,188.16223
42,188.51556
43,188.49556
44,188.61555
45,188.30444
46,187.87778
47,188.38667
48,188.79333
49,189.97334
50,190.46445
51,190.20445
52,189.10001
53,188.00444
54,187.91112
55,188.23111
56,188.31111
57,188.65334
58,187.96001
59,188.31334
60,188.98000
61,189.43556
62,189.30223
63,189.29333
64,189.02000
65,188.23334
66,188.10001
67,187.76666
68,187.87334
69,187.98000
70,187.94667
71,187.90889
72,188.32222
73,189.14000
74,188.98000
75,188.03999
76,187.17999
77,186.42667
78,186.13333
79,186.80667
80,186.80000
81,186.64667
82,186.72667
83,186.95334
84,187.12000
85,187.34666
86,187.60001
87,187.23334
88,186.46666
89,186.44667
90,186.84000
91,187.17334
92,187.52000
93,187.96001
94,187.84000
95,187.24001
96,186.94667
97,186.62000
98,186.56667
99,185.93333
100,185.92667
101,186.32666
102,186.18666
103,186.34666
104,186.63333
105,186.35333
106,186.63333
107,186.36667
108,187.17334
109,188.08000
110,187.88000
111,187.48000
112,187.43333
113,187.66000
114,188.03334
115,187.87334
116,187.52667
117,187.53334
118,187.39999
119,186.98000
120,186.78000
121,187.08667
122,187.38667
123,187.14667
124,187.10667
125,187.64000
126,187.35333
127,186.89999
128,187.30000
129,186.76666
130,185.76666
131,186.21333
132,186.87334
133,187.36667
134,187.22000
135,186.78000
136,187.27333
137,187.74667
138,187.92000
139,188.28667
140,188.08000
141,187.77333
142,187.82001
143,187.24667
144,186.67999
145,186.57333
146,185.92667
147,185.78667
148,187.19333
149,187.60667
